generation,average_score,average_distance,max_score,max_distance,min_score,min_distance
8080,609.02856,557.9094,717.85583,663.85583,0.0,0.0
8090,729.6361,543.85645,961.90845,701.90845,108.591484,99.37295
8100,763.1705,671.37036,1077.4764,806.7271,231.58186,231.58186
8110,279.26575,263.38574,693.9575,436.31348,155.99033,155.99033
8120,543.0754,368.3246,661.9352,405.9352,266.5684,266.5684
8130,251.9273,238.38733,329.8105,309.8105,75.58068,75.58068
8140,653.69214,615.67206,935.52686,861.52686,350.96805,276.96805
8150,286.4132,242.49335,291.84137,291.84137,68.25048,68.25048
8160,226.21437,222.67438,1039.8801,779.8801,189.79588,189.79588
8170,377.41675,271.90698,439.65833,311.65833,90.40464,90.40464
8180,418.49118,183.03123,595.17316,415.4405,20.0,0.0
8190,324.15784,253.82773,630.2837,428.28366,69.56839,15.568393
8200,263.4443,243.94421,599.68933,393.6893,62.39173,15.568393
8210,317.13776,311.59775,828.8957,700.8957,234.88054,234.88054
8220,272.70038,269.47037,865.64136,683.64136,142.92314,139.97289
8230,199.68721,141.73732,429.80396,305.22073,20.0,0.0
8240,230.78885,150.76895,492.82077,401.77615,157.65599,73.176636
8250,139.93898,134.47896,391.89398,371.89398,90.78063,56.230453
8260,194.26799,191.818,292.93085,288.45792,48.312775,48.312775
8270,344.20837,291.6284,368.7432,314.7432,110.6169,90.03774
8280,414.61157,374.0614,938.8455,682.8455,215.30093,141.30093
8290,229.99266,227.13263,353.34116,316.1105,15.568393,15.568393
8300,207.42844,162.96806,321.5066,301.5066,164.74057,90.74056
8310,296.37326,293.59326,367.24216,313.24216,3.4680002,3.4680002
8320,133.10191,133.0019,310.23322,310.23322,60.798023,60.798023
8330,857.02924,533.50854,1119.2456,697.24567,194.01572,66.015724
8340,320.12625,158.69547,1408.7964,1206.7964,105.023605,90.53177
8350,348.25772,254.01788,373.4316,309.56326,83.00707,77.01031
8360,182.57324,174.11324,494.20255,376.88406,110.51627,95.063934
8370,166.47902,93.53903,934.36365,712.36365,107.75436,33.754356
8380,444.97754,261.01715,553.4742,322.66666,10.751003,10.751003
8390,300.42404,295.91403,473.84137,320.8075,25.247862,25.247862
8400,276.689,260.55902,824.4925,726.4925,122.04198,122.04198
8410,305.87286,287.94287,1640.8824,1218.8824,64.701355,44.701355
8420,318.23428,300.76428,1374.6864,1131.0,140.84079,140.84079
8430,293.99332,239.50351,465.613,317.613,65.122215,65.122215
8440,619.75665,539.5368,1243.2007,841.2007,23.671722,23.671722
8450,450.59195,373.81204,796.70447,722.70447,271.75253,173.75253
8460,747.47345,522.8142,986.22205,672.22205,118.9523,88.83871
8470,332.54938,277.2294,442.59323,285.2965,94.20372,20.203722
8480,344.37778,271.09772,1086.4429,718.44293,199.03505,129.26048
8490,269.21417,262.74417,744.9771,704.9771,0.0,0.0
8500,231.18703,187.3872,539.25635,411.25635,38.68147,38.68147
8510,299.29184,247.21178,925.4538,705.4538,3.4680002,3.4680002
8520,308.6478,271.5979,1074.5437,818.5437,147.46176,23.671722
8530,481.13266,450.4325,983.11145,821.11145,138.83943,128.6509
8540,246.65013,244.50014,382.43796,308.43796,48.348824,48.348824
8550,263.75842,217.5381,815.97595,707.97595,188.65845,148.30188
8560,335.3066,231.18637,582.4469,430.44687,188.71465,71.31327
8570,421.36716,362.78683,473.59042,399.59042,270.695,250.69499
8580,349.00354,317.10355,949.56836,808.4899,103.91756,49.917553
8590,284.63647,273.27643,501.965,309.49985,30.09037,30.09037
8600,277.29742,262.6574,296.89777,276.89777,98.56053,98.56053
8610,258.09802,258.09802,307.85962,307.85962,230.7849,230.7849
8620,418.13235,274.17294,509.23044,307.23044,9.452719,9.452719
8630,179.04338,178.18338,682.28265,682.28265,132.9416,113.19856
8640,294.61548,251.4255,953.6788,697.6788,93.3852,19.385202
8650,307.4258,268.0858,1608.8635,1388.8635,6.834859,6.834859
8660,248.42242,243.00243,960.9601,704.9601,154.10196,86.95163
8670,818.51306,572.30334,1084.019,716.01904,20.203722,20.203722
8680,647.1399,579.44977,959.68066,827.68066,278.48773,278.48773
8690,378.09415,346.0438,819.7419,714.9977,157.25758,91.51997
8700,327.31317,287.44324,1296.6771,874.6771,85.02108,85.02108
8710,235.71538,216.72546,1260.0,644.0,47.41108,47.41108
8720,249.41144,228.25153,375.98386,316.81406,92.716965,19.3852
8730,308.65488,288.78488,372.87943,298.87943,226.39468,226.39468
8740,246.43791,199.07831,1117.8538,861.85376,34.103165,34.103165
8750,235.72284,220.92273,313.96133,313.96133,209.0254,189.0254
8760,309.6362,308.8962,745.1397,671.1397,301.94614,301.94614
8770,661.5879,378.59735,866.4657,718.4657,250.34882,48.348824
8780,138.8042,119.10412,485.77026,443.0,3.468001,3.468001
8790,276.25623,273.8362,449.65067,301.79718,152.7781,152.7781
8800,442.871,371.43106,492.1646,398.1646,262.3924,262.3924
8810,241.56732,239.01732,525.49915,373.9382,75.53567,75.53567
8820,302.27048,149.58984,784.1013,690.61066,158.4451,43.056927
8830,200.4393,196.8293,803.07214,394.7919,22.603722,19.385202
8840,822.08124,694.4604,886.3209,718.3209,272.05588,235.33073
8850,185.55548,180.11551,343.38364,302.09985,155.9962,155.9962
8860,254.7869,248.9769,326.70004,293.924,30.894457,30.894457
8870,169.51521,165.75519,1580.3136,1124.3136,99.0116,99.0116
8880,305.59564,282.76572,856.20734,674.20734,118.49402,23.671722
8890,254.08006,253.12004,878.8331,706.8331,138.04861,138.04861
8900,151.18317,134.9832,316.79977,316.79977,112.431694,92.431694
8910,360.5474,205.68701,1303.5442,1121.5442,103.92144,103.92144
8920,353.6981,300.4182,466.13425,392.13425,49.76413,49.76413
8930,215.6084,184.83836,552.00464,404.00467,128.0,0.0
8940,271.05917,255.97913,493.84137,302.11768,89.56839,15.568393
8950,353.69534,304.23523,584.5371,432.53714,194.90111,81.73097
8960,232.10706,162.63742,1111.936,851.936,59.60377,41.65741
8970,244.87645,218.06642,1022.2964,820.2964,167.57785,6.6865206
8980,250.42113,243.87115,360.09796,314.77817,221.69633,192.90886
8990,285.86932,252.3293,555.43164,443.0,42.954437,2.9544353
9000,311.08395,270.26404,775.75433,677.75433,277.8603,223.86029
9010,263.6661,258.5761,892.2266,699.53656,47.628357,47.628357
9020,280.0925,233.88255,757.0,443.0,111.5091,57.5091
9030,948.76373,814.8042,1843.0706,1408.6976,258.88525,258.88525
9040,306.72003,211.53976,948.5891,688.5891,52.912155,52.912155
9050,266.51135,252.64134,289.18436,269.18436,71.53941,17.539413
9060,337.6755,295.2855,1653.4858,1132.2,187.1174,138.24974
9070,316.3205,247.70049,378.58453,378.58453,291.84137,225.01968
9080,276.68542,232.08537,751.2619,697.2619,195.02856,31.485596
9090,479.26672,282.4276,566.62854,391.41653,258.28384,196.46474
9100,158.23634,153.83636,322.87573,302.87573,108.24892,108.24892
9110,286.98117,283.75116,373.4316,299.4316,98.249146,98.249146
9120,210.04385,188.33391,967.59467,707.59467,127.61835,73.61835
9130,516.4271,407.23712,957.93365,849.93365,261.9884,199.11522
9140,367.9523,344.1621,928.94183,707.4513,74.103165,34.103165
9150,307.91132,293.03128,867.8007,665.8007,53.060863,33.060863
9160,189.42334,166.01317,805.0187,396.20404,73.18045,53.180454
9170,309.6167,273.04657,740.7231,666.7231,227.86052,170.5956
9180,244.55394,242.58394,1028.3135,900.3135,211.56653,64.44511
9190,366.50027,298.6201,1055.1676,853.1676,10.359526,10.359526
9200,440.29355,297.1737,839.042,691.042,204.8792,204.8792
9210,546.4045,543.85443,654.751,654.751,174.28815,114.28815
9220,641.81335,557.8233,761.053,687.053,175.05103,81.05102
9230,400.2118,298.10138,956.54346,824.54346,186.1365,52.613083
9240,422.35226,355.29227,917.43164,724.9937,94.51603,74.51603
9250,484.71448,261.1236,912.8536,686.8536,117.32713,27.246035
9260,281.63364,279.58362,351.8603,292.8205,104.98817,104.98817
9270,140.4763,123.52634,851.1656,699.1656,0.0,0.0
9280,307.0618,298.6418,744.8242,700.0123,144.74057,90.74056
9290,272.48245,148.76204,1187.3284,823.32837,89.56839,0.0
9300,338.97034,251.00053,478.7034,269.11166,242.40288,130.7034
9310,466.65836,319.5888,689.79626,431.15137,30.09037,30.09037
9320,146.91139,137.05139,601.9802,419.98022,29.162622,29.162622
9330,380.67093,127.601585,412.89984,315.22324,71.26668,43.75923
9340,343.75372,269.79373,753.7855,427.67172,15.568393,15.568393
9350,762.6529,572.98267,991.0,731.0,10.751003,10.751003
9360,281.6931,262.5231,1065.052,883.052,208.29192,61.890236
9370,461.54636,359.08646,1249.9441,885.94415,73.00372,19.003721
9380,635.0419,593.112,754.08905,714.08905,108.51594,108.51594
9390,305.13773,288.33777,386.02008,294.10132,233.20296,180.02007
9400,292.5779,275.87796,643.13354,421.1335,189.255,65.29398
9410,410.89285,269.29282,452.80472,313.077,306.83975,250.80472
9420,284.21387,282.73386,404.65222,290.66846,267.84488,173.84488
9430,271.176,254.776,315.99628,295.99628,39.992928,39.992928
9440,338.79782,297.64777,1046.6267,840.6268,144.7271,36.727093
9450,274.9786,257.66858,411.56888,309.8755,69.581024,69.581024
9460,481.55975,371.10965,1987.1166,1399.1166,9.832389,9.832389
9470,237.20615,196.27603,618.9636,416.9636,129.17216,75.172165
9480,174.59038,174.29037,310.5282,307.86908,115.27781,115.27781
9490,310.79886,256.0689,371.0634,309.6797,131.08177,105.66627
